A1,b,M9+glucose,,,,
A2,b,M9+glucose,,,,
A3,BW25113 (DSM),M9+glucose,"Glucose-0,5",0,B1,12
A4,BW25113 (DSM),M9+glucose,"Glucose-0,5",0,B1,12
A5,BW25113 (DSM),M9+glucose,"Glucose-0,5",0,B2,12
A6,BW25113 (DSM),M9+glucose,"Glucose-0,5",0,B2,12
A7,b,M9+glucose,,,,
A8,X,M9+glucose,,,,
B1,X,M9+glucose,,,,
B2,X,M9+glucose,,,,
B3,X,M9+glucose,,,,
B4,X,M9+glucose,,,,
B5,BW25113 (DSM),M9+glucose,"Glucose-0,5",2,B1,12
B6,BW25113 (DSM),M9+glucose,"Glucose-0,5",2,B1,12
B7,BW25113 (DSM),M9+glucose,"Glucose-0,5",2,B2,12
B8,BW25113 (DSM),M9+glucose,"Glucose-0,5",2,B2,12
C1,X,M9+glucose,,,,
C2,X,M9+glucose,,,,
C3,X,M9+glucose,,,,
C4,X,M9+glucose,,,,
C5,BW25113 (DSM),M9+glucose,"Glucose-0,5",4,B1,12
C6,BW25113 (DSM),M9+glucose,"Glucose-0,5",4,B1,12
C7,BW25113 (DSM),M9+glucose,"Glucose-0,5",4,B2,12
C8,BW25113 (DSM),M9+glucose,"Glucose-0,5",4,B2,12
D1,X,M9+glucose,,,,
D2,X,M9+glucose,,,,
D3,X,M9+glucose,,,,
D4,X,M9+glucose,,,,
D5,BW25113 (DSM),M9+glucose,"Glucose-0,5",8,B1,12
D6,BW25113 (DSM),M9+glucose,"Glucose-0,5",8,B1,12
D7,BW25113 (DSM),M9+glucose,"Glucose-0,5",8,B2,12
D8,BW25113 (DSM),M9+glucose,"Glucose-0,5",8,B2,12
E1,X,M9+glucose,,,,
E2,X,M9+glucose,,,,
E3,X,M9+glucose,,,,
E4,X,M9+glucose,,,,
E5,BW25113 (DSM),M9+glucose,"Glucose-0,5",16,B1,12
E6,BW25113 (DSM),M9+glucose,"Glucose-0,5",16,B1,12
E7,BW25113 (DSM),M9+glucose,"Glucose-0,5",16,B2,12
E8,BW25113 (DSM),M9+glucose,"Glucose-0,5",16,B2,12
F1,X,M9+glucose,,,,
F2,X,M9+glucose,,,,
F3,X,M9+glucose,,,,
F4,X,M9+glucose,,,,
F5,X,M9+glucose,,,,
F6,X,M9+glucose,,,,
F7,X,M9+glucose,,,,
F8,X,M9+glucose,,,,
